Comment,Emotion,Clean_Comment
i feel incredibly slacking mrs greedy guts is still in desperate search for an unspoilt base on her career ladder,anger,feel incredibly slacking mr greedy gut still desperate search unspoilt base career ladder
i never thought id feel so much as a jot of sympathy for hussein whom i always viewed as a jumped up petty thug whatever my thoughts may be about actions against his administration,anger,never thought id feel much jot sympathy hussein always viewed jumped petty thug whatever thought may action administration
im feeling awfully irritated and worried and for a few good reasons,anger,im feeling awfully irritated worried good reason
i am feeling humorous i put cold callers on hold,joy,feeling humorous put cold caller hold
when i failed the entrance exam of the medical school and was studying biochemistry which has no job prospects in zambia,anger,failed entrance exam medical school studying biochemistry job prospect zambia
i feel uptight love had to show me one thing i was so right,fear,feel uptight love show one thing right
i feel rather intimidated by my re his impressive background and the clinic in general,fear,feel rather intimidated impressive background clinic general
i think about talking to a lawyer and finishing this i feel anxious,fear,think talking lawyer finishing feel anxious
im feeling a little shaky because im going to give a speech at jens retirement lunch shortly and i dont want to cry,fear,im feeling little shaky im going give speech jens retirement lunch shortly dont want cry
i did it i survived our very first big kid trauma though i still feel shaken by the whole event,fear,survived first big kid trauma though still feel shaken whole event
i feel despised and i dont deserve that,anger,feel despised dont deserve
i feeling dangerous at wimbledon width,anger,feeling dangerous wimbledon width
i feel weird about my self this doesn t feel like me,fear,feel weird self feel like
im feeling doodly playful artistic hungry puzzled trendy stellar and wonderful,joy,im feeling doodly playful artistic hungry puzzled trendy stellar wonderful
i do not know that he simple feelings i am startled by startled though he did not understand the words but i was feeling his words there are overtones green ink why suddenly say,fear,know simple feeling startled startled though understand word feeling word overtone green ink suddenly say
i feel relaxed and comfortable,joy,feel relaxed comfortable
im not always able capture the essence of the way i see the world in writing i feel that my weird way of thinking has been generally consistent throughout my short years,fear,im always able capture essence way see world writing feel weird way thinking generally consistent throughout short year
i started feeling like i was being paranoid since it kept happening,fear,started feeling like paranoid since kept happening
i could understand if a survivor reading this might at first feel offended by my talking about abstract forms of rape,anger,could understand survivor reading might first feel offended talking abstract form rape
i always feel intimidated by other people especially when they always compare me to other people ever since i was young,fear,always feel intimidated people especially always compare people ever since young
i cannot describe to you the feeling of frantic alarm that overtook me,fear,cannot describe feeling frantic alarm overtook
when i almost walked on a snake,fear,almost walked snake
i feel like my dream is so selfish,anger,feel like dream selfish
i know how old people feel when they have greedy family members who are trying to take their stuff before they even pass on,anger,know old people feel greedy family member trying take stuff even pas
im done with putting up with this constant bullying because that is what it is when you feel threatened and constantly on the defensive and i am tired of constantly defending myself to others,fear,im done putting constant bullying feel threatened constantly defensive tired constantly defending others
i feel disrespected and insulted,anger,feel disrespected insulted
i pictured a twin set of copper pipes running through me somewhere and while i was cool when i contemplated the one that flowed outward it made me feel weird to think about the other one,fear,pictured twin set copper pipe running somewhere cool contemplated one flowed outward made feel weird think one
i like to buck the system and climb on my soapbox when i feel wronged or see others wronged but for the most part i am more comfortable with a society that accepts certain behaviors as moral truths,anger,like buck system climb soapbox feel wronged see others wronged part comfortable society accepts certain behavior moral truth
im feeling happy and well,joy,im feeling happy well
i feel stressed my intention is to remain in control of my feelings,anger,feel stressed intention remain control feeling
i guess being the good friend that he is he can not and will not allow me to go on with life feeling so distressed and confused,fear,guess good friend allow go life feeling distressed confused
i remember feeling uncertain about what to say well erm we are trying and my period is due this week so erm,fear,remember feeling uncertain say well erm trying period due week erm
i have a reminder of the joy and peace i feel in his arms i am tortured,anger,reminder joy peace feel arm tortured
i feel like i only get mad if i think someones doing something thats really unjust,anger,feel like get mad think someone something thats really unjust
ive had my ass handed to me by murt and im starting to feel fucked but just a little,anger,ive as handed murt im starting feel fucked little
i attempt to convince others of what they should think and how they truly feel i become a title resentful href http en,anger,attempt convince others think truly feel become title resentful href http en
im feeling much more optimistic than i was just before coming here or en route here,joy,im feeling much optimistic coming en route
i feel that gulam ali is even more talented than many other classical singers,joy,feel gulam ali even talented many classical singer
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,fear,playing friend decided splash sand car moving nearby driver got angry came report parent
i feel a little bit anxious about it,fear,feel little bit anxious
im feeling bitchy and unappreciated today,anger,im feeling bitchy unappreciated today
i currently feel like crap but have to at least show my face at work lest they get suspicious at my ringing in sick the day after my holidays,fear,currently feel like crap least show face work lest get suspicious ringing sick day holiday
im feeling ok and always has a hand on me or sits very close,joy,im feeling ok always hand sits close
i love being comfy that is my main goal when i look for new clothes i cannot stand feeling uncomfortable in something,fear,love comfy main goal look new clothes cannot stand feeling uncomfortable something
i have a feeling she is going to be an amazing artist like her daddy and uncles,joy,feeling going amazing artist like daddy uncle
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,joy,loved pack mate bonded touchy feely way sweet
i know i dont live in new york anymore but i feel so outraged that this could happen in my city,anger,know dont live new york anymore feel outraged could happen city
i didn t sleep well the night before and am not feeling half as brave as i was yesterday,joy,sleep well night feeling half brave yesterday
i was stymied a little bit as i wrote feeling unsure that i might go somewhere with the story unintended,fear,stymied little bit wrote feeling unsure might go somewhere story unintended
during the weekend at home,anger,weekend home
i can feel the gap it feels like rich people status and poor people status,joy,feel gap feel like rich people status poor people status
i have no idea why this particular region seems to lack a visibly necessary outer carniola as well and i feel actually somewhat bothered by this possible evidence of lack of suburban spirit,anger,idea particular region seems lack visibly necessary outer carniola well feel actually somewhat bothered possible evidence lack suburban spirit
i feel so honoured and luckily for me i get to post cards,joy,feel honoured luckily get post card
i start to feel annoyed about the whole thing and end up ordering pizza,anger,start feel annoyed whole thing end ordering pizza
i am feeling amazing mostly normal i am going to a pre thanksgiving celebration with our friends from that time we were in softball,joy,feeling amazing mostly normal going pre thanksgiving celebration friend time softball
i dont really connect with the main character or anything in fact i feel like he is almost too innocent to be me,joy,dont really connect main character anything fact feel like almost innocent
i start to feel agitated lacking in patience and just down right cranky,anger,start feel agitated lacking patience right cranky
im feeling every bit the spiteful vindictive bitch i can be at times,anger,im feeling every bit spiteful vindictive bitch time
i cant help feeling mad at this man,anger,cant help feeling mad man
im feeling wimpy and whiny and generally tired,fear,im feeling wimpy whiny generally tired
i think browsers are more comfortable in my booth if all my attention is not focused on them and they don t feel pressured to make a purchase,fear,think browser comfortable booth attention focused feel pressured make purchase
i feel helpless,fear,feel helpless
i feel tortured and tragic enough as it is without having any importance or sparkle,anger,feel tortured tragic enough without importance sparkle
im feeling hopelessly restless,fear,im feeling hopelessly restless
i remind myself or am reminded of my passions and opinions i just feel incredibly agitated and frustrated there is this ball of energy with no channel to travel,fear,remind reminded passion opinion feel incredibly agitated frustrated ball energy channel travel
i feel so cranky and disconnected,anger,feel cranky disconnected
i feel he is sincere and repentant for his past opposition to civil rights,joy,feel sincere repentant past opposition civil right
i think of how many years i spent feeling furious at my dramatic perspective of the world and my extremely sensitive nature,anger,think many year spent feeling furious dramatic perspective world extremely sensitive nature
ive been feeling jealous lately of bloggers going off to author readings and book si,anger,ive feeling jealous lately blogger going author reading book si
i feel like such a confused person lately sigh,fear,feel like confused person lately sigh
i feel a bit shaky at night lately i ve awoken with this,fear,feel bit shaky night lately awoken
i fought i could feel myself trusting this man who was so patient and had a cool confidence more and more,joy,fought could feel trusting man patient cool confidence
i look at him and say nicely and friendly well im sorry you feel that way i do apologize to you this angered him more and he stormed out saying i dont need this shit not a good night overall but im off till friday thankfully,anger,look say nicely friendly well im sorry feel way apologize angered stormed saying dont need shit good night overall im till friday thankfully
i feel absolutely fantastic and i hope baby does too,joy,feel absolutely fantastic hope baby
i feel i cant talk move sometimes even breath with the fear of some kind of rude hateful comment,anger,feel cant talk move sometimes even breath fear kind rude hateful comment
i feel is doubtful but then again i could be wrong,fear,feel doubtful could wrong
i always dread that part of the meeting although dont think i didnt shoot my hand up into the air feeling all superior week when i lost,joy,always dread part meeting although dont think didnt shoot hand air feeling superior week lost
i woke up the morning of our hike feeling jubilant,joy,woke morning hike feeling jubilant
i feel tortured and sickened exactly the way i felt the last day of lances leave,fear,feel tortured sickened exactly way felt last day lance leave
i feel shaky dizzy and my stomach starts to hurt if i miss a meal,fear,feel shaky dizzy stomach start hurt miss meal
i didnt feel that way with this we got to be with everyone on the dangerous path to freedom,anger,didnt feel way got everyone dangerous path freedom
i remember sitting in my family room in dallas watching the story unfold in new york so many years ago and feeling so helpless,fear,remember sitting family room dallas watching story unfold new york many year ago feeling helpless
i was feeling pretty triumphant i had held a little conversation with the cashier and she didn t realize i was deaf,joy,feeling pretty triumphant held little conversation cashier realize deaf
i was insane not liking someone else to do all this but it made me feel less valuable b c i wasnt working and i also wasnt a housewife,joy,insane liking someone else made feel less valuable b c wasnt working also wasnt housewife
i was still feelin kind of irritable and funky from the day before but so it goes,anger,still feelin kind irritable funky day go
going to take my driving test,fear,going take driving test
i don t care what sort of bs lifestyle you think you live everyone wants to fit in and feel accepted,joy,care sort b lifestyle think live everyone want fit feel accepted
i feel genuinely wronged,anger,feel genuinely wronged
i love comments so feel free to post one,joy,love comment feel free post one
i feel like i am getting fucked,anger,feel like getting fucked
i started secondary school at the age of every night i would cry and lose sleep over the thought of school the next day but it wasnt the usual feelings of oh i cant be bothered with school,anger,started secondary school age every night would cry lose sleep thought school next day wasnt usual feeling oh cant bothered school
i am is cornish and i feel so insulted and hurt to know that people my own age dont see what i see dont understand how much cornwall is important to their lives,anger,cornish feel insulted hurt know people age dont see see dont understand much cornwall important life
i cant help but feel that if i hadnt had been so selfish then i could have sheltered you from feeling this way now,anger,cant help feel hadnt selfish could sheltered feeling way
im really feeling skeptical about clinique products,fear,im really feeling skeptical clinique product
i feel so uptight around my family,fear,feel uptight around family
ive gone through stages of nervousness and sheer terror but now i am feeling relaxed and excited,joy,ive gone stage nervousness sheer terror feeling relaxed excited
i have been so busy i feel like i have free time at home,joy,busy feel like free time home
i was made to feel like it was my fault that i couldn t control my husband and his violent behavior if they even believed it existed,anger,made feel like fault control husband violent behavior even believed existed
i feel like i would have been confused if i had waited a long time before reading the second book,fear,feel like would confused waited long time reading second book
i am feeling very pissed now,anger,feeling pissed
i want her to feel energetic and rested,joy,want feel energetic rested
i did not feel frightened just frustrated that i wanted to go back to sleep but felt there were unfinished tasks i needed to attend to there wasn t other than to edit two articles on freud s dream of irma s injection which were near completion and have subsequently been posted on this blog,fear,feel frightened frustrated wanted go back sleep felt unfinished task needed attend edit two article freud dream irma injection near completion subsequently posted blog
i feel a bit more energized today and less grouchy,anger,feel bit energized today less grouchy
i feel kind of petty blogging about this,anger,feel kind petty blogging
i al feeling rather agitated and i am not totally sure where it is coming from,fear,al feeling rather agitated totally sure coming
i am so relieved and excited and i feel confident again,joy,relieved excited feel confident
i feel agitated about it,anger,feel agitated
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear,began training january least mentally preparing train remember specifically feeling apprehensive running spring marathon
i feel i ve been wronged luckily i managed to control myself and not complain or talk bad about the friend either online on facebook or offline in person,anger,feel wronged luckily managed control complain talk bad friend either online facebook offline person
im feeling indecisive about what i want to do with the rest of my life,fear,im feeling indecisive want rest life
i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,joy,feel advise dad whose child soon become teenager cool pull kid high school pick smelly jalopy plant coming window
i also feel strange that by the ripe old age of twenty three i want a goddamn life partner,fear,also feel strange ripe old age twenty three want goddamn life partner
id actually been feeling less hostile towards ms than a lot of my linux using brethren lately,anger,id actually feeling less hostile towards m lot linux using brother lately
i do for a living and lately more often than not both me and my wife who s also an ubuntu user have been feeling a bit uncertain about linux being the platform where we want to keep working,fear,living lately often wife also ubuntu user feeling bit uncertain linux platform want keep working
i can assume they are not feeling the cold like i am their water is not frozen they have plenty of feed though they eschew this in favor of foraging and scratch,anger,assume feeling cold like water frozen plenty feed though eschew favor foraging scratch
i feel thank you everyone for the amazing thoughts and prayers,joy,feel thank everyone amazing thought prayer
i continue to succeed in something and having someone seems unattainable because i feel men will be intimidated or when there is a prolonged moment of silence,fear,continue succeed something someone seems unattainable feel men intimidated prolonged moment silence
i was going to cry at one point could feel a lump in my throat but managed to stop it as i was more distracted by the thought of getting all my vows right,anger,going cry one point could feel lump throat managed stop distracted thought getting vow right
i was feeling pleased with the manuscript reporting the results of my fellowship research annoyed at the ridiculous requirements for for,joy,feeling pleased manuscript reporting result fellowship research annoyed ridiculous requirement
i am drawn to totally solid neutral bags in black and brown throw in a vibrant patent red and maybe if i m feeling dangerous a metallic clutch but that s usually the most adventurous i get with my accessories,anger,drawn totally solid neutral bag black brown throw vibrant patent red maybe feeling dangerous metallic clutch usually adventurous get accessory
i actually feel quite scared to get back to exercising because i feel like ive lost so much strength and condition and put on so much weight,fear,actually feel quite scared get back exercising feel like ive lost much strength condition put much weight
i have experimented lots of the experiences she mentions and sadly this made me realize that most women feel that their career paths are somehow going to be determined by their partners if they support them or not their children ther co workers etc,joy,experimented lot experience mention sadly made realize woman feel career path somehow going determined partner support child ther co worker etc
i feel impatient yet i am not fully sure what i am searching for,anger,feel impatient yet fully sure searching
i have this nagging feeling that i fucked everything up on the first try,anger,nagging feeling fucked everything first try
i still feel fine but i can tell i am getting weaker,joy,still feel fine tell getting weaker
im slow about this but it does feel weird returning to a home without your mum anymore,fear,im slow feel weird returning home without mum anymore
i feel distraught as ever,fear,feel distraught ever
i feel skeptical about it,fear,feel skeptical
im feeling easily irritable lately too,anger,im feeling easily irritable lately
i know mom s who would take once look at my facebook profile and feel envious of all the fun i seem to be having out with my friends the carefree state that my life is in where i am only responsible for me and can pick up at any time and go away for the weekend,anger,know mom would take look facebook profile feel envious fun seem friend carefree state life responsible pick time go away weekend
i feel privileged to belong to you,joy,feel privileged belong
i would feel timid wearing them beacuse id try to not get them dirty etc,fear,would feel timid wearing beacuse id try get dirty etc
i try to feel confident about it but when ever our eyes meet i feel strong like in gym we have the exercise machines and i could only do lbs on average and i always wanted to do,joy,try feel confident ever eye meet feel strong like gym exercise machine could lb average always wanted
im sorry i have a really bad cold and im feeling bitchy cos i never got to go out drinking myself stupid with my best friends tonight,anger,im sorry really bad cold im feeling bitchy co never got go drinking stupid best friend tonight
i feel that the media cannot be resolved effectively,joy,feel medium cannot resolved effectively
i do feel very successful right now,joy,feel successful right
i feel fearful because i dont know what is going to happen next in the course of me recovering,fear,feel fearful dont know going happen next course recovering
i feel very uncomfortable around people with down syndrome,fear,feel uncomfortable around people syndrome
i was feeling angry and jealous and deceived,anger,feeling angry jealous deceived
i viewed all that stuff at the bottom and deciding i was going to come back when i am feeling bitchy just so i could list that as my mood i felt like an ice cream sandwich,anger,viewed stuff bottom deciding going come back feeling bitchy could list mood felt like ice cream sandwich
i feel like everywhere i look a piece of my sweet boy is missing,joy,feel like everywhere look piece sweet boy missing
i am feeling that bitter sweetness that comes from a deep recess in my soul,anger,feeling bitter sweetness come deep recess soul
i guarantee that if im dizzy or feeling like im going to vomit for months i am not going to be a very pleasant person,joy,guarantee im dizzy feeling like im going vomit month going pleasant person
i know i should just let the words flow like how they do when i blog but still i feel the pressure and that is making me unsure of my skills,fear,know let word flow like blog still feel pressure making unsure skill
i am healing but i am still feeling shaky at times i managed to get myself to finish some work this week,fear,healing still feeling shaky time managed get finish work week
i had been feeling slightly distressed and my pride was resisting me just waiting for the next peregrinos to walk past and help me out,fear,feeling slightly distressed pride resisting waiting next peregrinos walk past help
i feel like i am i the only one out there who is as angry as i am about suffering such loss about stupid cancer about unfairness about what is even though nothing about it is right,anger,feel like one angry suffering loss stupid cancer unfairness even though nothing right
i remember feeling inspired and thinking that it was a fine example of parenting,joy,remember feeling inspired thinking fine example parenting
i apologise in advance i m feeling somewhat angered and stressed and the following is just going to have to come out,anger,apologise advance feeling somewhat angered stressed following going come
i write when i am feeling happy and childish,joy,write feeling happy childish
i remember me and my mum crying holding ourselves against a door while he tried to break it down and feeling terrified,fear,remember mum cry holding door tried break feeling terrified
i dont have a yeast infection in the vagina i could be feeling irritated by yeast due to my diet so i should stop eating lots of sugary foods if i can,anger,dont yeast infection vagina could feeling irritated yeast due diet stop eating lot sugary food
i should just relax for now but it feels so distinctly strange for me,fear,relax feel distinctly strange
i saw them that anything was wrong they told me some excuses but i am feeling truly insulted and i am feeling desperate again,anger,saw anything wrong told excuse feeling truly insulted feeling desperate
i got the feeling watching it that only from starting out by making hats for his school friends could one develop such a clever use of resources train tickets doc marten soles barbies and shattered mirrors to name a few,joy,got feeling watching starting making hat school friend could one develop clever use resource train ticket doc marten sol barbies shattered mirror name
im sore and feeling very unsure of how in the world i will go more miles in weeks,fear,im sore feeling unsure world go mile week
i ended up eating lots of carbs on both days but i didn t feel as pressured to eat a bunch on the last day,fear,ended eating lot carbs day feel pressured eat bunch last day
i have finished reading i am feeling so insecure,fear,finished reading feeling insecure
i feel can be really popular in the underground if they get themselves out there and thank god for this i m looking at you toby and tunji,joy,feel really popular underground get thank god looking toby tunji
i feel like i am the only one trying to accomplish everything especially the balance in our extremely distressed world,fear,feel like one trying accomplish everything especially balance extremely distressed world
i feel xs more indecisive,fear,feel x indecisive
i feel offended by this girl,anger,feel offended girl
i was actually starting to feel pretty cranky about the situation and was avoiding a lot of phone calls because i really just didnt want to talk to anyone about being late,anger,actually starting feel pretty cranky situation avoiding lot phone call really didnt want talk anyone late
im finally feeling a little more productive,joy,im finally feeling little productive
i prayed to trust god with my desire to feel a divine sense of home,joy,prayed trust god desire feel divine sense home
i have decided that i will not let the feeling demotivate me and here i am with all my enthusiasm and this diwali special recipe,joy,decided let feeling demotivate enthusiasm diwali special recipe
i feel i did some thing impolite katanya,anger,feel thing impolite katanya
ive always heard choose one feauture to play up eyes or lips then tone down the other feautures and i love this rule i feel envious of selena here she is soo pretty she has lovely dark hair and great eyes she can wear such a wide colour range,anger,ive always heard choose one feauture play eye lip tone feautures love rule feel envious selena soo pretty lovely dark hair great eye wear wide colour range
im really excited for her birthday but feeling super nostalgic about it,joy,im really excited birthday feeling super nostalgic
i feel like i need to cry these past few days and it relieved me that i could cry that much of tears today haha,joy,feel like need cry past day relieved could cry much tear today haha
i feel a bit uncertain really shes a nice girl and good friend material,fear,feel bit uncertain really shes nice girl good friend material
i have a feeling something startled her but either way she started on my shoulder and ended up across the room a very slow flutter mind you,fear,feeling something startled either way started shoulder ended across room slow flutter mind
i am not feeling too super,joy,feeling super
i am beginning to feel that theres a good chance i might pass,joy,beginning feel there good chance might pas
i ask about his wife annulment case he feels so irritated and kept on telling me it is on the process,anger,ask wife annulment case feel irritated kept telling process
i feel pretty eager to get it done as i have a fun plan for quilting it,joy,feel pretty eager get done fun plan quilting
i had thought but i feel scared and somewhat trepidatious nervous and sad,fear,thought feel scared somewhat trepidatious nervous sad
i finished blogging i was feeling shaky and checked my level to see a,fear,finished blogging feeling shaky checked level see
i could find another reason i m new in the area and i feel less intimidated with a simple tool that i can understand,fear,could find another reason new area feel less intimidated simple tool understand
i got to chat with rustie dean from my hometown moose jaw and everyone made me feel so welcomed and comfortable,joy,got chat rustie dean hometown moose jaw everyone made feel welcomed comfortable
i feel out of place posting here since i feel so hesitant to join aa full force but i could use some insight from the people on the inside,fear,feel place posting since feel hesitant join aa full force could use insight people inside
i was for awhile and i started feeling irritated and annoyed each time one of my kids filled up their pants again,anger,awhile started feeling irritated annoyed time one kid filled pant
i am currently feeling very aggravated,anger,currently feeling aggravated
i came away from the experience feeling rather confused and it left a sour taste in my mouth,fear,came away experience feeling rather confused left sour taste mouth
i started feeling intimidated by the thought,fear,started feeling intimidated thought
i feel disgusted just looking at that number,anger,feel disgusted looking number
i feel virtuous for going to spin class then driving all the way to blackburn in the manual unsupervised and sucessfully handbrake starting,joy,feel virtuous going spin class driving way blackburn manual unsupervised sucessfully handbrake starting
this happened when i could not get into the school i had initially wanted,anger,happened could get school initially wanted
i feel that i can answer in a completely un sarcastic way,anger,feel answer completely un sarcastic way
i woke up feeling incredibly content amp optimistic today however i woke up with a terrible cold and a complete lack of energy,joy,woke feeling incredibly content amp optimistic today however woke terrible cold complete lack energy
i feel very agitated just sitting here,fear,feel agitated sitting
i am feeling shaky and weak,fear,feeling shaky weak
i feel a tranquil and eloquent charm his praise array delights me thought of legard but he loved me not,joy,feel tranquil eloquent charm praise array delight thought legard loved
i don t know what it feels like to be in love so i m starting to get scared that i don t actually love him,fear,know feel like love starting get scared actually love
i want to say that i feel as though i dont play a really vital role in anyones life with the exception of one friend,joy,want say feel though dont play really vital role anyones life exception one friend
i am new to this so feels kind of strange but i will push through it,fear,new feel kind strange push
i feel pretty tortured because i work a job and often the inspiration strikes while im at work,anger,feel pretty tortured work job often inspiration strike im work
i feel special now its just fun to say lol amvassago of the i just cant stop laughing when ever i read something and then i see beefy amkris toshibalol amits an epic word so is beef cake amvassago of the nooo,joy,feel special fun say lol amvassago cant stop laughing ever read something see beefy amkris toshibalol amits epic word beef cake amvassago nooo
im feeling pissed off about my aac or feeling kind of miserable and frustrated with life this whole week,anger,im feeling pissed aac feeling kind miserable frustrated life whole week
ive clawed time back and i still feel strong,joy,ive clawed time back still feel strong
i also chat when i feel frustrated with guys but now i think about my future husband,anger,also chat feel frustrated guy think future husband
i do feel apprehensive before meeting someone new particularly in a group situation but i just sign up for everything i can and hope that i ll have found the courage to do it by the time it comes round and i always have so far,fear,feel apprehensive meeting someone new particularly group situation sign everything hope found courage time come round always far
i feel each time one of my posts gets massively downvoted pagetitle rugmi popular images of the now,joy,feel time one post get massively downvoted pagetitle rugmi popular image
i noticed earlier not involved in the group s turn to speak in front of the class and you could feel how nervous he was,fear,noticed earlier involved group turn speak front class could feel nervous
i feel tortured by something,anger,feel tortured something
i am wondering if i am feeling brave enough to make them for gifts,joy,wondering feeling brave enough make gift
i know that i will never see this place again and that would break my heart had not a thick layer of moss encased it in a thick shell muffling all other sharper feelings pleasant or painful,joy,know never see place would break heart thick layer moss encased thick shell muffling sharper feeling pleasant painful
i did wake up feeling pretty energetic so thats a positive anyway,joy,wake feeling pretty energetic thats positive anyway
i did feel unsure about it but thanks to l a lot of people liked it,fear,feel unsure thanks l lot people liked
i feel contented small old rich tired and happy,joy,feel contented small old rich tired happy
i am appalled that i feel violent toward another human being,anger,appalled feel violent toward another human
i feel paranoid because nobody is saying anything,fear,feel paranoid nobody saying anything
i feel so strongly and passionate about so hearing that just made my heart sink,joy,feel strongly passionate hearing made heart sink
i feel really petty and immature but i dont want to cheat on greg or end up breaking up because were fighting over the stupid little things,anger,feel really petty immature dont want cheat greg end breaking fighting stupid little thing
i feel like a snow globe that has been all shaken up and i m still waiting for the dust to settle,fear,feel like snow globe shaken still waiting dust settle
i think i am feeling a little rebellious as i am getting older and i like it,anger,think feeling little rebellious getting older like
i love lots of different kinds of sports and love hanging out with my friends in my free time i also have an unhealthy up session with greys anatomy im feeling ecstatic about being in ty,joy,love lot different kind sport love hanging friend free time also unhealthy session grey anatomy im feeling ecstatic ty
im sure that each person has their own complex set of reasons for leaving and chalking it up to one reason or feeling like because they all hated academia is probably a little too simple,anger,im sure person complex set reason leaving chalking one reason feeling like hated academia probably little simple
i don t always feel joyful and i quite often throw prayer out the window,joy,always feel joyful quite often throw prayer window
i guess im feeling generous today and so i have decided to offer a fabulous deal on of my most popular prints at the moment,joy,guess im feeling generous today decided offer fabulous deal popular print moment
i feel like i enter his class petrified that im going to do or say something that will make him think less of me,fear,feel like enter class petrified im going say something make think less
i feel like i m watching another copy of my beloved son created for the english speaking world being wonderful clever and delightful in new and different ways,joy,feel like watching another copy beloved son created english speaking world wonderful clever delightful new different way
im feeling rather pleased with myself tonight because i did that,joy,im feeling rather pleased tonight
i just didnt feel like taking her bitchy attitude,anger,didnt feel like taking bitchy attitude
i feel a little bit brave,joy,feel little bit brave
i now feel everythings been resolved were psychically galvanised and prepared to wrestle the world to the ground,joy,feel everythings resolved psychically galvanised prepared wrestle world ground
i hope i would be able to understand and not make my friend feel pressured into doing anything they did not want to do,fear,hope would able understand make friend feel pressured anything want
i feel excited about what im doing again i feel like i have a ton of catching up to do,joy,feel excited im feel like ton catching
i needed to get all that out of my head and onto a screen where i can come and reread it later to see that while we have numerous blessings there are some challenges and that its okay for me to feel overwhelmed at times,fear,needed get head onto screen come reread later see numerous blessing challenge okay feel overwhelmed time
i am feeling quite smug,joy,feeling quite smug
i feel frustrated that its not easier other days i remember that the blessing of research learning trial and error hard won success and patience will give me a far better garden in the long run,anger,feel frustrated easier day remember blessing research learning trial error hard success patience give far better garden long run
i feel fine e terminando com eight days a week um ano depois,joy,feel fine e terminando com eight day week um ano depois
i know is that afterward i feel a hell of a lot more mellow amp relaxed merely by laughing and the stress of being down in the dumps just melts away,joy,know afterward feel hell lot mellow amp relaxed merely laughing stress dump melt away
i feel honoured and humbled cos hes a legend and one i still look up to,joy,feel honoured humbled co he legend one still look
i began to feel agitated because i wanted to buy ewan some food and medicine before i left,anger,began feel agitated wanted buy ewan food medicine left
i am feeling pretty shaky and sad,fear,feeling pretty shaky sad
i kind of feel like i should be investing in a how to internet for dummies type book but im really not bothered by my status as an internet pariah,anger,kind feel like investing internet dummy type book im really bothered status internet pariah
i feel fine which is good enough on a sunday evening,joy,feel fine good enough sunday evening
ive always been a giver not a taker i feel selfish in considering this idea,anger,ive always giver taker feel selfish considering idea
i had a feeling this little girl was going to arrive soon but i still felt very unsure of when it would actually happen,fear,feeling little girl going arrive soon still felt unsure would actually happen
i feel resentful toward my wife when weeks go by without sex,anger,feel resentful toward wife week go without sex
i woke up emotionally drained and anxious and immediately my defenses rise and i feel irritated that this is my story my life,anger,woke emotionally drained anxious immediately defense rise feel irritated story life
i feel with the capacity of a producer and an actor someone like david would be far more accepted when he comes onscreen and shows boxing in a different light,joy,feel capacity producer actor someone like david would far accepted come onscreen show boxing different light
i feel the most uncertain about the project,fear,feel uncertain project
i was trying to determine why i feel so reluctant to actually post what ive written when i finally realized its because i cannot pass something off as a cute idea i had or as a response to something someone could be experiencing,fear,trying determine feel reluctant actually post ive written finally realized cannot pas something cute idea response something someone could experiencing
i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why,anger,learning step back call proud admit yes feeling annoyed yes tell
i have been feeling agitated about lately,anger,feeling agitated lately
i think i would have been feeling less grumpy if i hadnt been up and down throughout the night or my lungs deciding that even though i wasnt that unwell it felt as though something was sitting on my chest and flattened me,anger,think would feeling less grumpy hadnt throughout night lung deciding even though wasnt unwell felt though something sitting chest flattened
i will continue to struggle with experiencing normal feelings and the sense theyre chipping away at precious time,joy,continue struggle experiencing normal feeling sense theyre chipping away precious time
i have begun to feel irrationally resentful and angry towards people,anger,begun feel irrationally resentful angry towards people
i suppose thats wonderful because it means that they can learn so much so quickly and also make me feel like an idiot much the way i did to my parents when they couldnt figure out how to leave an outgoing message on the answering machine,joy,suppose thats wonderful mean learn much quickly also make feel like idiot much way parent couldnt figure leave outgoing message answering machine
i feel just as determined as ever if not more,joy,feel determined ever
i start to feel happy and then i think of how lonely my cat feels,joy,start feel happy think lonely cat feel
i aint feeling it this is where been carefree deffinately is worrying in its self,joy,aint feeling carefree deffinately worrying self
i feel stunningly elegant tonight darling,joy,feel stunningly elegant tonight darling
i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,joy,dont want wax draw anything need unibrow maybe get rid spare hair creeping toward eyelid im feeling brave
i am feeling highly frustrated because i had worked a long day and just wanted to get home and take a shower and eat my snacks and listen to some music,anger,feeling highly frustrated worked long day wanted get home take shower eat snack listen music
i feel privileged to be amongst this new culture and learn new things,joy,feel privileged amongst new culture learn new thing
i would feel terrified for them and enjoy this movie a little better,fear,would feel terrified enjoy movie little better
i feel thrilled with your presence in your eyes i feel the belief in peace in sincerity,joy,feel thrilled presence eye feel belief peace sincerity
im feeling the moxie fab love cath script src http www,joy,im feeling moxie fab love cath script src http www
